user_id;total_quantity;total_transactions;top_priority_transactions;top_priority_ratio
10669706;1234306;23345;2918;0.12499464553437567
10571992;790128;11363;1350;0.11880665317257766
10686544;550329;7493;705;0.09408781529427465
10593314;496376;4015;624;0.15541718555417186
10680202;273431;5482;736;0.1342575702298431
10596553;248400;4352;390;0.0896139705882353
10588368;221958;4493;566;0.12597373692410416
10575562;209078;3328;477;0.14332932692307693
10561847;155482;3613;454;0.12565734846388044
10669689;67586;225;41;0.18222222222222223
10676594;63037;694;53;0.07636887608069164
10528352;60412;1516;224;0.14775725593667546
10678059;50309;1234;174;0.14100486223662884
10586642;31549;713;147;0.2061711079943899
10551272;30596;600;130;0.21666666666666667
10678054;25882;762;77;0.1010498687664042
10680127;20898;279;12;0.043010752688172046
10643548;4460;86;0;0.0
10676590;2207;200;42;0.21
10631254;1469;137;30;0.21897810218978103
10669701;1444;23;0;0.0
10678056;1399;11;1;0.09090909090909091
10588369;1224;106;55;0.5188679245283019
10669707;1002;65;12;0.18461538461538463
10702192;200;24;0;0.0
10563031;112;30;0;0.0
10669704;6;1;1;1.0