year_month,Quantity_received,Quantity_shipped,monthly_net,cumulative_inventory
2021-01,19979,1642,18337,18337
2021-02,44765,12423,32342,50679
2021-03,45072,26679,18393,69072
2021-04,126748,41924,84824,153896
2021-05,148288,42554,105734,259630
2021-06,114014,159739,-45725,213905
2021-07,78183,112567,-34384,179521
2021-08,155610,176189,-20579,158942
2021-09,195912,208366,-12454,146488
2021-10,141929,126727,15202,161690
2021-11,169924,121011,48913,210603
2021-12,226183,92640,133543,344146
2022-01,141281,83403,57878,402024
2022-02,346582,98937,247645,649669
2022-03,224812,131221,93591,743260
2022-04,149821,62955,86866,830126
2022-05,100879,85136,15743,845869
2022-06,151594,103043,48551,894420
2022-07,145927,108661,37266,931686
2022-08,242351,111329,131022,1062708
2022-09,136919,100218,36701,1099409
2022-10,58308,110444,-52136,1047273
2022-11,121412,27894,93518,1140791
2022-12,75287,135036,-59749,1081042
2023-01,112638,85469,27169,1108211
2023-02,104886,121204,-16318,1091893
2023-03,144819,164423,-19604,1072289
2023-04,124814,169968,-45154,1027135
2023-05,355294,136496,218798,1245933
2023-06,133119,123181,9938,1255871
2023-07,88522,141588,-53066,1202805
2023-08,92614,88987,3627,1206432
2023-09,25176,30863,-5687,1200745
